-0.11, 0.1, 0.98, 
-0.11, 0.1, 0.98, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.1, 0.1, 1.0, 
-0.1, 0.1, 1.0, 
-0.1, 0.1, 1.0, 
-0.1, 0.1, 1.0, 
-0.1, 0.1, 1.0, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
28.87, 19.87, 2.0, 
28.87, 19.87, 2.0, 
28.87, 19.87, 2.0, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.11, 0.1, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-0.07, 0.09, 0.99, 
-1.53, -0.35, 0.47, 
-1.53, -0.35, 0.47, 
-1.53, -0.35, 0.47, 
-1.53, -0.35, 0.47, 
0.04, -0.02, 0.49, 
0.04, -0.02, 0.49, 
0.04, -0.02, 0.49, 
0.04, -0.02, 0.49, 
0.04, -0.02, 0.49, 
-0.26, 0.28, 1.45, 
-0.26, 0.28, 1.45, 
-0.26, 0.28, 1.45, 
-0.26, 0.28, 1.45, 
0.61, 0.3, 1.25, 
0.61, 0.3, 1.25, 
0.61, 0.3, 1.25, 
0.61, 0.3, 1.25, 
0.61, 0.3, 1.25, 
0.61, 0.3, 1.25, 
1.04, -0.27, -0.65, 
1.04, -0.27, -0.65, 
1.04, -0.27, -0.65, 
1.04, -0.27, -0.65, 
1.04, -0.27, -0.65, 
0.09, -0.11, -0.95, 
0.09, -0.11, -0.95, 
0.09, -0.11, -0.95, 
0.09, -0.11, -0.95, 
0.09, -0.11, -0.95, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 0.99, 
26.55, 18.91, 2.0, 
26.55, 18.91, 2.0, 
-0.03, 0.08, 0.99, 
26.53, 18.89, 2.0, 
-0.03, 0.08, 1.0, 
26.48, 18.92, 2.0, 
-0.03, 0.08, 0.99, 
26.47, 18.93, 2.0, 
-0.03, 0.08, 0.99, 
-0.03, 0.09, 1.0, 
-0.03, 0.08, 0.99, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
-0.03, 0.08, 1.0, 
